시,"사용자 성명","영향받는 사용자","이벤트 문맥",구성요소,"이벤트 이름",설명,오리진,"ip 주소"
"30/10/23, 15:28:52","kim kim",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '5' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:50","kim kim",-,"간편설문: 사전학습 설문",간편설문,"감좌 모듈 봄","The user with id '5' viewed the 'choice' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:50","kim kim","kim kim","간편설문: 사전학습 설문",간편설문,선택됨,"The user with id '5' has added the option with id '2' for the               user with id '5' from the choice activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:46","kim kim",-,"간편설문: 사전학습 설문",간편설문,"감좌 모듈 봄","The user with id '5' viewed the 'choice' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:44","kim kim",-,"강좌: 파이썬 기초","User tours","Tour started","The user with id '5' has started the tour with id '1' on the page with URL 'http://localhost/course/view.php?id=2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:43","kim kim",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '5' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:26","kim kim",-,"URL: 파이썬의 역사",URL,"감좌 모듈 봄","The user with id '5' viewed the 'url' activity with course module id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:23","kim kim",-,"강좌: 파이썬 기초","User tours","Tour started","The user with id '5' has started the tour with id '1' on the page with URL 'http://localhost/course/view.php?id=2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:22","kim kim",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '5' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:28:22","kim kim",-,시스템,시스템,"사용자가 로그인 하였습니다.","The user with id '5' has logged in.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:27:49","admin lms","kim kim","강좌: 파이썬 기초",시스템,"부여된 역할","The user with id '2' assigned the role with id '5' to the user with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:27:49","admin lms","kim kim","강좌: 파이썬 기초",시스템,"강좌에 등록된 사용자","The user with id '2' enrolled the user with id '5' using the enrolment method 'manual' in the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:27:00","admin lms",-,"강좌: 파이썬 기초",시스템,"사용자 목록 봄","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:58","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:56","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:30","admin lms","kim kim","사용자: kim kim",시스템,"사용자 프로파일 봄","The user with id '2' viewed the profile for the user with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:25","admin lms",-,"시작 페이지",시스템,"사용자 목록 봄","The user with id '2' viewed the list of users in the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:24","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:13","admin lms",-,"강좌: 파이썬 기초",시스템,"사용자 목록 봄","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:12","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:10","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:09","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:08","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:06","admin lms","admin lms","사용자: admin lms",시스템,"강의 현황","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:05","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:26:00","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:48",-,-,"시작 페이지",시스템,"강좌 봄","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:48","lee lee",-,시스템,시스템,"사용자가 로그아웃 했습니다.","The user with id '3' has logged out.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:43","lee lee","lee lee","사용자: lee lee","User tours","Tour started","The user with id '3' has started the tour with id '4' on the page with URL 'http://localhost/my/'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:42","lee lee","lee lee","사용자: lee lee",시스템,"강의 현황","The user with id '3' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:20","lee lee",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:18","lee lee","lee lee","피드백(설문): 강의 리뷰",피드백(설문),"응답이 제출되었습니다.","The user with id '3' submitted response for 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:06","lee lee",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '3' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:25:03","lee lee",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:24:58","admin lms",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '2' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:24:36","admin lms",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '2' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:24:33","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:24:33","admin lms",-,"피드백(설문): 강의 리뷰",시스템,"강좌 모듈이 업데이트 되었습니다.","The user with id '2' updated the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:57","admin lms",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '2' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:52","lee lee",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:37","lee lee","lee lee","피드백(설문): 강의 리뷰",시스템,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '4' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:36","lee lee",-,"피드백(설문): 강의 리뷰",피드백(설문),"감좌 모듈 봄","The user with id '3' viewed the 'feedback' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:33","lee lee",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:30","lee lee",-,"간편설문: 사전학습 설문",간편설문,"감좌 모듈 봄","The user with id '3' viewed the 'choice' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:30","lee lee","lee lee","간편설문: 사전학습 설문",간편설문,선택됨,"The user with id '3' has added the option with id '1' for the               user with id '3' from the choice activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:27","lee lee",-,"간편설문: 사전학습 설문",간편설문,"감좌 모듈 봄","The user with id '3' viewed the 'choice' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:26","lee lee",-,"간편설문: 사전학습 설문",간편설문,"감좌 모듈 봄","The user with id '3' viewed the 'choice' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:25","lee lee",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:20","lee lee",-,"URL: 파이썬의 역사",URL,"감좌 모듈 봄","The user with id '3' viewed the 'url' activity with course module id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:23:15","lee lee",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '3' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
